CID,CRPName,Party,DistIDRunFor,FECCandID
N00042795,"Murtaugh, Morgan",R,CA53,H8CA53084
N00043002,"Musselwhite, Bob",D,AZ08,H8AZ08232
N00041671,"Mustafa, Regina",D,MN01,H8MN01311
N00041567,"Mustafa, Sameena",D,IL05,H8IL05123
N00041426,"Myers, Cathy",D,WI01,H8WI01131
N00043684,"Myers, Joe",R,KS03,H8KS03189
N00042253,"Myers, Paul",R,TX11,H8TX11134
N00040530,"Myers, Steve",I,OH02,H8OH02108
N00043275,"Nabliba, Mario",R,CAS2,S8CA00523
N00043709,"Nackerud, Jennifer",L,CO07,H8CO07128
N00000939,"Nadler, Jerrold",D,NY10,H2NY17071
N00041480,"Nalbandian, Johnny",R,CA28,H8CA28185
N00039033,"Nana, Charles",D,ALS1,S6AL00369
N00006789,"Napolitano, Grace",D,CA32,H8CA34068
N00043453,"Narang, Sonny",3,SC02,H8SC02122
N00040819,"Nardolillo, Bobby",R,RIS1,S8RI00110
N00033667,"Narvaiz, Susan",R,TX21,H2TX35029
N00042891,"Nations, Joey",R,OR05,H8OR05206
N00037584,"Navarro, Omar",R,CA43,H6CA44145
N00040903,"Neace, Joshua",3,KY04,H8KY04136
N00042491,"Neahring, Jennifer",D,OR02,H8OR02179
N00042675,"Neal, Diane",I,NY19,H8NY19249
N00000153,"Neal, Richard E",D,MA01,H8MA02041
N00041590,"Neal, Rick",D,OH15,H8OH15134
N00042832,"Nease, James",R,IN04,H8IN04264
N00040555,"Neff, Bill",R,PA11,H6PA16353
N00042263,"Negley, William",R,TX21,H8TX21257
N00041841,"Negron, Steve",R,NH02,H8NH02275
N00041080,"Neguse, Joseph",D,CO02,H8CO02160
N00039601,"Nehlen, Paul",R,WI01,H6WI01226
N00041297,"Neighbors, Rick",D,AL04,H8AL04086
N00009926,"Nelson, Bill",D,FLS1,S8FL00166
N00041827,"Nelson, Carla",R,MN01,H8MN01329
N00041760,"Nelson, John",D,CA26,H8CA26130
N00042515,"Nelson, Kevin",D,TX10,H8TX10136
N00040635,"Nelson, Patrick",D,NY21,H2NY21115
N00042426,"Nelson, Preston",R,IL12,H8IL12160
N00042385,"Nelson, Shawn",R,CA39,H8CA39232
N00043496,"Nelson, Thomas John",R,AK01,H8AK01031
N00041496,"Nesmith, Trent",D,GA12,H8GA12052
N00039142,"Neu, James",D,OH05,H6OH05097
N00041736,"Newberger, Jim",R,MNS2,S8MN00552
N00043313,"Newbrough, Jack",R,WVS1,S8WV00168
N00036403,"Newhouse, Dan",R,WA04,H4WA04104
N00037323,"Newland, K Ross",R,GA13,H8GA13019
N00040891,"Newman, Marie",D,IL03,H8IL03102
N00029708,"Newman, Monty",R,NM02,H8NM02073
N00042987,"Newsom, Shane",L,TXS2,S8TX00392
N00037600,"Newton, William",R,MD07,H6MD07434
N00042011,"Nguyen, Danny",R,TX22,H8TX22255
N00040645,"Nichols, Damien",D,CA28,H8CA28169
N00042200,"Nichols, Jason",D,OK02,H8OK02148
N00032147,"Nichols, Kristi",R,MOS2,S0MO00290
N00041623,"Nicholson, Kevin",R,WIS1,S8WI00216
N00042915,"Nickloes, Sarah Ashley",R,TN02,H8TN02218
N00042229,"Niederkorn, David",R,TX03,H8TX03149
N00043601,"Niemuth, Niles",3,MI12,H8MI12120
N00041349,"Niermann, Tom",D,KS03,H8KS03114
N00040999,"Noble, Janelle",D,VA07,H8VA07078
N00021207,"Nolan, Rick",D,MN08,H2MN08111
N00036154,"Norcross, Don",D,NJ01,H4NJ01084
N00042791,"Nordal, Craig",R,CA49,H8CA49157
N00030614,"Noren, Scott",I,NYS1,S0NY00402
N00027783,"Norman, Ralph",R,SC05,H8SC05158
N00043347,"Norris, Lance",R,MO07,H8MO07249
N00033875,"Norris, Phil",R,AL04,H8AL04060
N00001692,"Norton, Eleanor Holmes",D,DC00,H0DC00058
N00042209,"Nothstein, Marty",R,PA07,H8PA15245
N00007248,"Nunes, Devin",R,CA22,H8CA20059
N00042647,"Nye, Cooper",I,MI11,H8MI11379
N00043499,"Nye, Jennifer T.",R,CT01,H8CT01145
N00042530,"Nygaard, David",D,VA02,H8VA02129
N00040852,"Nygard, Dotty",D,CA10,H8CA10118
N00043412,"O''Neill, Thomas E.",R,NDS2,S8ND00138
N00042196,"O'Brien, Carol",R,OH12,H8OH12206
N00042586,"O'Connor, Danny",D,OH12,H8OH12297
N00040719,"O'Cull, Sayre Christian",D,KY04,H8KY04128
N00042982,"O'Dear, Craig",I,MOS2,S8MO00202
N00042674,"O'Donnell, James",R,NY18,H8NY18274
N00041150,"O'Donnell, Justin",L,NH02,H8NH02242
N00040850,"O'Donnell, Ronald",D,CA08,H8CA08096
N00037515,"O'Halleran, Tom",D,AZ01,H6AZ01199
N00003338,"O'Hara, Shawn",3,MSS2,S4MS00062
N00043420,"O'Neill, Ruby",R,CT05,H8CT05237
N00033540,"O'Rourke, Beto",D,TXS2,S8TX00285
N00041980,"O'Rourke, Terence",D,NH01,H8NH01194
N00040957,"Oakes, Kevin",R,PA08,H8PA17043
N00043340,"Oaks, Richonda",R,MO05,H8MO05136
N00040869,"Oatman, Laura",D,CA48,H8CA48043
N00041162,"Ocasio-Cortez, Alexandria",D,NY14,H8NY15148
N00042730,"Oh, Thomas",R,VA08,H8VA08159
N00042812,"Ohevzion, Michael",R,FL27,H8FL27201
N00036034,"Ojeda, Richard",D,WV03,H8WV03048
N00042278,"Oliver, Julie",D,TX25,H8TX25159
N00041644,"Oliver, Rusty",D,GA03,H8GA03069
N00042682,"Olivito, Richard A",D,OH06,H8OH06125
N00041246,"Olmer, Scott",D,WI06,H8WI06080
N00041696,"Olsen, Martin",D,TN01,H8TN01079
N00043104,"Olsen, Robert Dean",D,AZ08,H8AZ08240
N00041896,"Olson, Brayden",D,WA08,H8WA08213
N00041667,"Olson, Craig",D,ME02,H8ME02177
N00042597,"Olson, Lee W",I,CAS2,S8CA00465
N00029285,"Olson, Pete",R,TX22,H8TX22107
N00041039,"Olszewski, Al",R,MTS1,S8MT00200
N00043581,"Omar, Ilhan",D,MN05,H8MN05239
N00041448,"Onufrei, Stelian",R,CA48,H8CA48092
N00035210,"Ordille, John",L,NJ02,H2NJ02177
N00030378,"Orlinski, John",R,WAS1,S8WA00327
N00042003,"Ortitay, Jason",R,PA14,H8PA18249
N00042865,"Ortiz, Gabriel",D,NC12,H8NC12119
N00041512,"Osmack, Mark",D,MO02,H8MO02216
N00043115,"Osmena, Cristina",R,CA14,H8CA14185
N00040675,"Ossoff, Jon",D,GA06,H8GA06195
N00043243,"Ottaway, Brent",D,PA13,H8PA13133
N00043737,"Overby, Paula M.",3,MNS2,S6MN00416
N00040857,"Owen, Robert",D,CA23,H8CA23095
N00043631,"Owen, Tim",R,WAS1,S8WA00335
N00043536,"Owens, Colleen",R,TN08,H8TN08116
N00043020,"Owens, Hubert",R,MD02,H8MD02126
N00043323,"Owens, Kyle",I,IL16,H8IL16187
N00043103,"Pace, Tyler",R,AZ05,H8AZ05188
N00042889,"Padgett, Clay",D,OK02,H8OK02155
N00040652,"Padilla, Mark",I,CA34,H8CA34233
N00034951,"Paige, Brooke",R,VT01,S2VT00144
N00043075,"Painter, Richard",D,MNS1,S8MN00628
N00042632,"Palazzo, Rhonda",R,KY03,H8KY03203
N00031958,"Palazzo, Steven",R,MS04,H0MS04120
N00027796,"Pallant, Mary",D,CA25,H6CA24246
N00000781,"Pallone, Frank Jr",D,NJ06,H8NJ03073
N00035691,"Palmer, Gary",R,AL06,H4AL06098
N00042221,"Palmer, Michael",R,TX02,H8TX02133
N00042587,"Palmer, Susan",D,OH16,H8OH16157
N00039379,"Palsson, Nils",I,CA05,H6CA05344
N00037157,"Palzer, Tom",R,CAS2,S6CA00675
N00041716,"Palzewicz, Tom",D,WI05,H8WI05165
N00041708,"Panda, Chetan",D,TX25,H8TX25134
N00038601,"Panetta, Jimmy",D,CA20,H6CA20152
N00041553,"Pannu, Jasdeep",R,VTS1,S8VT00125
N00043523,"Pappas, Anthony",R,NY14,H8NY14133
N00042161,"Pappas, Chris",D,NH01,H8NH01210
N00042828,"Pappas, Nicholas",R,IN01,H8IN01187
N00042532,"Park, Jonathan",D,VA11,H8VA11096
N00042863,"Parker, Grayson",D,NC07,H8NC07127
N00039918,"Parker, John",3,CAS2,S6CA00949
N00043361,"Parker, Luisa",I,NY19,H8NY19264
N00043172,"Parker, Perry",R,MS03,H8MS03182
N00043088,"Parker, Sam",R,UTS1,S8UT00267
N00041624,"Parks, Juan",D,GA04,H8GA04117
N00040759,"Parnell, Archie",D,SC05,H8SC05174
N00042225,"Parvizian, Hamid",D,TX02,H8TX02174
N00041795,"Paschen, John",D,IA04,H8IA04122
N00000751,"Pascrell, Bill Jr",D,NJ09,H6NJ08118
N00038816,"Pate, Ava",R,TX18,H6TX18158
N00042406,"Patel, Sanjay",D,FL08,H8FL08102
N00041983,"Patel, Suraj",D,NY12,H8NY12129
N00035104,"Paterson, Clark",L,TX35,H2TX01070
N00043403,"Patterson, Ken",R,MOS2,S8MO00285
N00042197,"Patton, Jackie",D,OH12,H8OH12214
N00041591,"Patton, Tom",R,OH16,H8OH16116
N00043354,"Paul, Richard",L,NH01,H8NH01269
N00042851,"Paul, Utam",D,MD08,H8MD08214
N00043381,"Paulaha, Dennis",D,WI07,H8WI07120
N00029391,"Paulsen, Erik",R,MN03,H8MN03077
N00043482,"Paulus, GE",R,AZS2,S8AZ00288
N00034639,"Payne, Donald M Jr",D,NJ10,H2NJ10154
N00043006,"Payne, Rachel",D,CA48,H8CA48159
N00039271,"Payne, Tom",D,WV01,H6WV02119
N00043263,"Payton, Philip",R,WV03,H8WV03147
N00043705,"Peacock, Brad Joseph",I,VTS1,S8VT00158
N00040665,"Peacock, Julia",D,CA42,H8CA42228
N00012672,"Pearce, Steve",R,NM02,H2NM02126
N00039845,"Pearson, Erika Stotts",D,TN08,H6TN08250
N00036714,"Pearson, Michael",R,MD07,H4MD07066
N00041227,"Peay, Stewart",R,UT03,H8UT03295
N00041523,"Pechefsky, David",D,NY01,H8NY01163
N00012932,"Pedigo, Brian",D,KY02,H0KY02061
N00041438,"Peeples, Bryan",R,ALS1,S8AL00464
N00040166,"Peiro, Maria",R,FL27,H6FL27049
N00042016,"Pelletier, Paul",D,VA10,H8VA10171
N00040343,"Pellett, Danielle",D,TX32,H8TX32056
N00007360,"Pelosi, Nancy",D,CA12,H8CA05035
N00041310,"Pelzer, Jon",D,CA30,H8CA30066
N00041762,"Pelzer, Kimberlin Brown",R,CA36,H8CA36170
N00042174,"Pena, Angel",D,NM02,H8NM02214
N00042937,"Pena, Chuck",L,TX20,H8TX20150
N00040670,"Pena, Ray",D,FL15,H8FL15131
N00041410,"Pena, Rene Jr",D,TX27,H8TX27031
N00041956,"Pence, Greg",R,IN06,H8IN06129
N00043007,"Pendleton, Robert",I,CA49,H8CA49165
N00040746,"Pendleton, Scott",R,OK01,H8OK01132
N00042217,"Penfold, Josh",D,TN07,H8TN07092
N00041517,"Penner, Kirk",R,NE03,H8NE03087
N00042627,"Pennington, Alonzo",D,KY01,H8KY01082
N00004108,"Pensler, Sandy",R,MIS2,S8MI00414
N00041783,"Perenich, Stephen",D,FL12,H8FL12070
N00043206,"Perez Williams, Juanita",D,NY24,H8NY24132
N00041478,"Perez, Ana Maria",D,AZ04,H8AZ04132
N00040596,"Perez, John",D,CA34,H6CA34245
N00043462,"Perez, Marty",R,TX27,H8TX27130
N00026186,"Perez, N Ruben",L,TX29,H6TX29114
N00040750,"Perez, Tom",R,SC01,H8SC01090
N00035512,"Perkins, Jo Rae",R,OR04,H6OR04203
N00027510,"Perlmutter, Ed",D,CO07,H6CO07023
N00040984,"Perri, Chris",D,TX25,H8TX21174
N00036567,"Perri, Elizabeth",3,NY14,H4NY14090
N00042110,"Perry, Christy",R,ID01,H8ID01173
N00041180,"Perry, Paul",D,PA07,H8PA07143
N00034120,"Perry, Scott",R,PA10,H2PA04135
N00042866,"Persson, Carl",R,NC12,H8NC12127
N00043327,"Peruski, Jeremy Michael",I,MI10,H8MI10116
N00040980,"Peterka, Jessica",I,TX18,H8TX18162
N00039914,"Peters , Herb",D,CAS2,S6CA00907
N00042616,"Peters, Brandon",D,FL02,H8FL02105
N00039395,"Peters, Christopher",R,IA02,H6IA02161
N00042207,"Peters, Joe",R,PA08,H8PA11103
N00041391,"Peters, John",D,OH12,H8OH12149
N00043371,"Peters, Ruby",I,OK04,H8OK04110
N00042781,"Peters, Rudy",R,CA15,H8CA15117
N00033591,"Peters, Scott",D,CA52,H2CA52089
N00038525,"Petersen, Austin",R,MOS2,S8MO00145
N00004558,"Peterson, Collin",D,MN07,H2MN07014
N00030903,"Peterson, David",D,CA01,H6CA01202
N00043752,"Peterson, Edward",I,IA04,H8IA04163
N00042047,"Peterson, Lea Marquez",R,AZ02,H8AZ02185
N00042829,"Petroff, John",D,IN02,H8IN02201
N00040878,"Pettersen, Brittany",D,CO07,H8CO07045
N00042565,"Pettigrew, Aaron",R,TNS1,S8TN00394
N00041975,"Pettinato, Jared",D,MT01,H8MT01240
N00033609,"Petzel, Geoffrey",D,IL06,H8IL06089
N00041444,"Peyer, Dustin",D,NDS2,S8ND00096
N00000775,"Pezzullo, Rich",R,NJ06,H8NJ10110
N00041878,"Pfalzgraf, Eric",D,TX11,H8TX11118
N00043404,"Pfeifer, Peter",R,MOS2,S8MO00293
N00041495,"Pham, Ethan",D,GA07,H8GA07177
N00041970,"Phifer, Leah",D,MN08,H8MN08050
N00036437,"Phillips, Bartholomew J",I,TNS1,S4TN00450
N00041711,"Phillips, Brendan",3,UT03,H8UT03386
N00043591,"Phillips, Breton",R,TNS1,S8TN00477
N00041134,"Phillips, Dean",D,MN03,H8MN03143
N00041386,"Phillips, Heath",D,NY22,H8NY22169
N00040966,"Phillips, Mariah",D,TN04,H8TN04099
N00041249,"Phillips, Rupie Jr",R,WV03,H8WV03055
N00040859,"Phoenix, Jess",D,CA25,H8CA25082
N00042128,"Piatt, Patti",D,KY04,H8KY04144
N00042187,"Piegza, Larry",3,NY27,H8NY27150
N00039040,"Pierce, Douglas",D,CAS2,S6CA00790
N00042914,"Pierce, Shannon",R,SC04,H8SC04326
N00042375,"Pierson, Nick",R,AZ03,H8AZ03159
N00042685,"Pikus, Patrick",D,OH07,H8OH07131
N00040671,"Pilkington, Greg",D,FL15,H8FL15149
N00043605,"Pilskog, Adam",I,WA01,H8WA01093
N00043704,"Pimentel, Sarah Genova",I,MAS1,S8MA00342
N00013817,"Pingree, Chellie",D,ME01,H8ME01120
N00043310,"Pinion, Timothy A.",R,OHS1,S8OH00128
N00042178,"Pinjuv, Guy",D,NV03,H8NV03226
N00041733,"Piper, John Patrick",I,INS1,S8IN00197
N00028771,"Pirkowski, Eddie",R,HIS2,S6HI00222
N00030781,"Pistone, John",I,CT05,H0CT05127
N00034416,"Pittenger, Robert",R,NC09,H2NC09134
N00041270,"Pittman, Trip",R,ALS1,S8AL00415
N00035000,"Plaskett, Stacey",D,VI00,H2VI00082
N00043278,"Plummer, Gerald",D,CAS2,S8CA00556
N00041203,"Plummer, Letitia",D,TX22,H8TX22206
N00033549,"Pocan, Mark",D,WI02,H2WI02124
N00026457,"Poe, Ted",R,TX02,H4TX02108
N00042019,"Polce, Nick",R,WI01,H8WI01149
N00043229,"Polen, Michael",R,OR04,H8OR04167
N00034584,"Poliquin, Bruce",R,ME02,H4ME02234
N00040687,"Pollard, Andre",I,GA06,H8GA06310
N00041490,"Pollard, Bill",D,FL17,H8FL17020
N00043223,"Pollock, Randy",R,OR02,H8OR02203
N00042531,"Pope, Elliot",R,VA06,H8VA06120
N00040754,"Pope, Tommy",R,SC05,H8SC05125
N00036853,"Porambo, Joe",L,WYS1,S4WY00154
N00041393,"Porter, Eddie Ray",D,OK05,H8OK05091
N00041889,"Porter, Ernest",D,VA02,H8VA02095
N00040865,"Porter, Katie",D,CA45,H8CA45130
N00040773,"Porter, Stevan",L,VA11,H8VA11088
N00029662,"Posey, Bill",R,FL08,H8FL15107
N00043216,"Post, Dynda Rose",D,OK02,H8OK02171
N00043012,"Postemski, Dan",R,CT02,H8CT02101
N00042270,"Poteet, Al",R,TX21,H8TX21323
N00043941,"Potter, Laura",3,VT01,H8VT00166
N00042235,"Pounds, Bunni",R,TX05,H8TX05128
N00040991,"Powell, Jon",D,TX36,H8TX36016
N00041958,"Powers, Kevin",R,MA02,H8MA02090
N00042707,"Pozos, Clare Putnam",R,PA05,H8PA07218
N00043316,"Praver, Shaul",D,CT05,H8CT05203
N00042393,"Prejean, Christina",D,CA49,H8CA49116
N00043094,"Presley, Elvis",L,AR01,H8AR01045
N00042581,"Pressley, Ayanna",D,MA07,H8MA07032
N00043493,"Pressman, Jonathan",D,RIS1,S8RI00136
N00042143,"Pretot, Jake",D,MD02,H8MD02100
N00002260,"Price, David",D,NC04,H6NC04037
N00041369,"Price, Phillip",D,NC11,H8NC11103
N00041109,"Price, Suzyn",D,IL06,H8IL06113
N00042076,"Price, Thomas",D,CA42,H8CA42251
N00042210,"Pries, Mike",R,PA07,H8PA15252
N00040749,"Prigg, Tom",D,PA14,H8PA12069
N00042171,"Princeton, Lloyd",L,NM01,H8NM01448
N00042167,"Pringle, David",D,NJ07,H8NJ07231
N00043049,"Probasco, Kevin",R,UT01,H8UT01141
N00043147,"Profit, Joe",R,GA04,H8GA04125
N00041360,"Prosch, Matt",R,MN07,H8MN07094
N00007956,"Pross, Gordon",R,WA08,H8WA04048
N00041572,"Pruett, Jim",D,IN06,H8IN06087
N00041877,"Pruitt, Autry",R,TX21,H8TX08106
N00040895,"Pruitt, Dean",D,IL12,H8IL12095
N00043003,"Puett, Kevin",D,CA03,H8CA03170
N00043457,"Pugh, Bryan",3,SC06,H8SC06115
N00042446,"Pulcher, Jacob",L,MD05,H8MD05137
N00040137,"Puletasi , Sam",D,HI01,H6HI01246
N00041506,"Pullen, Mike",D,MD01,H8MD01185
N00028240,"Pullins, Pierre",D,IN07,H6IN07337
N00042676,"Pureval, Aftab",D,OH01,H8OH01118
N00042617,"Purkis, Angelika",I,FL12,H8FL12096
N00040197,"Puskar, Michael",I,MDS1,S8MD00393
N00031386,"Pyle, Dennis",R,KS02,H8KS02249
N00041079,"Qudrat, Omar",R,CA52,H8CA52102
N00041146,"Queen, Kenneth",D,NC10,H8NC10089
N00043238,"Quick, Laura",D,PA09,H8PA09081
N00040642,"Quigg, Rebecca",D,GA06,H8GA06344
N00030581,"Quigley, Mike",D,IL05,H0IL05096
N00039087,"Quinn, Christine",R,FL14,H6FL14112
N00042686,"Quinn, Patrick J",R,OH07,H8OH07149
N00038839,"Quintanilla, Carlos",D,TX33,H6TX33025
N00040646,"Quintero, Andre",D,CA32,H8CA32070
N00042075,"Quintero, Norman",D,CA42,H8CA42244
N00040729,"Quist, Robert E.",D,MT01,H8MT00077
N00036728,"Rab, Raji",D,CA30,H4CA30123
N00043521,"Rabin, Eliot",R,NY12,H8NY12145
N00037587,"Rabinowitz, Jeffrey G",I,FL15,H6FL00103
N00041574,"Racioppi, Sam",L,MA06,H8MA06109
N00041324,"Rackleff, Bob",D,FL02,H8FL02097
N00013848,"Raczkowski, Rocky",R,MI11,H8MI11288
N00040943,"Rader, Betsy",D,OH14,H8OH14111
N00007635,"Radewagen, Amata Coleman",R,AS00,H4AS00036
N00042123,"Radice, Timothy",R,IN04,H8IN04215
N00042858,"Radinovich, Joe",D,MN08,H8MN08068
N00042366,"Raiklin, Ivan",R,VAS1,S8VA00305
N00043213,"Rajiah, James",I,OH14,H8OH14152
N00029652,"Ramirez, Rita",D,CA08,H8CA41139
N00042115,"Ramirez-Rosa, Carlos",D,IL04,H8IL04142
N00041481,"Ramsay, Greg",D,CA45,H8CA45171
N00041123,"Ramsey, Andrea",D,KS03,H8KS03106
N00041103,"Ramsey, George",D,IA01,H8IA01110
N00043885,"Randol, Kyle",L,LA05,H8LA05107
N00039167,"Rangel, Roland",L,TX24,H6TX24164
N00042397,"Rao, Saira",D,CO01,H8CO01154
N00043439,"Raphoon, Megan Renee",I,MI13,H8MI13334
N00041472,"Rapini, Dominic",R,CTS1,S8CT00113
N00037036,"Raskin, Jamie",D,MD08,H6MD08457
N00035972,"Ratcliffe, John Lee",R,TX04,H4TX04153
N00043877,"Rath, Michael",I,ID01,H8ID01249
N00042886,"Ratigan, Dylan",D,NY21,H8NY21344
N00042513,"Ratterree, Troy",R,TX06,H8TX06340
N00041694,"Ray, Johnny Allen",R,SC07,H8SC07030
N00040727,"Ray, Patricia Torres",D,MN05,H8MN05189
N00036553,"Ray, Troy",I,MS02,H4MS02183
N00041739,"Raybould, Jane",D,NES1,S8NE00182
N00036862,"Raymond, Robert",I,WI04,H4WI04266
N00002002,"Rea, John",D,MD03,H8MD04064
N00029657,"Reale, Daniel J",L,CT02,H8CT02085
N00037582,"Redd, Shawn",R,AZS2,S8AZ00270
N00041861,"Reddick, Rachel",D,PA01,H8PA08141
N00042499,"Reed, Dave",R,PA13,H8PA09032
N00030776,"Reed, Mark",R,CA30,H6CA30185
N00030949,"Reed, Tom",R,NY23,H0NY29054
N00038410,"Reed, Wendy",D,CA23,H6CA23206
N00042504,"Reel, Matt",D,TN07,H8TN07100
N00043968,"Reeve, Caleb Dan",I,UTS1,S8UT00325
N00036005,"Reeves, Jason",L,TX33,H4TX33020
N00041493,"Regalado, Raquel",R,FL27,H8FL27078
N00042867,"Register, Benjamin Patrick",D,NC12,H8NC12135
N00037353,"Reid, Derrick Michael",L,CAS2,S8CA00507
N00041640,"Reid, Ron",D,FL11,H8FL11114
N00043969,"Reiksthegn, Hektor",I,UTS1,S8UT00333
N00043574,"Reilly, Josh",3,AZ02,H8AZ02243
N00034783,"Reilly, Steve",D,GA07,H8GA07169
N00043505,"Reinecker, Nick",R,KS01,H8KS01043
N00041077,"Reiser, Brandon",L,CA48,H8CA48068
N00040695,"Reiss, John",D,HI02,H8HI02125
N00042780,"Remmer, Lisa",R,CA12,H8CA12270
N00031127,"Renacci, Jim",R,OHS1,S8OH00102
N00042395,"Renison, John",R,CA51,H8CA51054
N00042472,"Rennhack, John",D,NY22,H8NY02096
N00041871,"Reschenthaler, Guy",R,PA14,H8PA18199
N00043123,"Rey, Juan",I,CA29,H8CA29118
N00042526,"Reyes, Augustine",D,TX29,H8TX29128
N00041560,"Reyes, Carlos",R,FL23,H8FL23051
N00043546,"Reyes, Richard Travis",L,WA08,H8WA08270
N00042754,"Reyes-Aguirre, Eve",3,AZS2,S8AZ00254
N00043583,"Reynolds, Brian J.",I,NJ04,H8NJ04204
N00043232,"Reynolds, Robert L",R,OR05,H8OR05222
N00039835,"Reynolds, Steven",D,TN04,H6TN04200
N00041775,"Rhea, Bill",R,CO05,H8CO05155
N00039723,"Rheinhart, Allen",D,NVS1,S6NV00309
N00040938,"Rhodes, Gareth",D,NY19,H8NY19199
N00041127,"Rice, Johnny",R,MD05,H8MD05129
N00035927,"Rice, Kathleen",D,NY04,H4NY04075
N00040894,"Rice, Maxwell",R,IL09,H8IL09174
N00041057,"Rice, Richard Brand New",D,AL07,H8AL07089
N00033832,"Rice, Tom",R,SC07,H2SC07066
N00040815,"Rich, Mick",R,NMS1,S8NM00200
N00041355,"Rich, Tim",D,ME02,H8ME02144
N00010242,"Richards, Leonard J",D,MNS2,S8MN00206
N00041088,"Richardson, Chardo",D,FL07,H8FL07054
N00041492,"Richardson, David",D,FL27,H8FL27060
N00030125,"Richardson, Marvin",3,ID01,H2ID01150
N00042065,"Richardson, Robert",3,CA09,H8CA07080
N00030184,"Richmond, Cedric",D,LA02,H8LA02054
N00003241,"Richmond, Isaac",D,TN09,H8TN09023
N00008357,"Rickards, Peter",D,ID02,H6ID02126
N00041195,"Ricker, Sean",R,TX08,H8TX08072
N00041395,"Rieger, Chris",D,PA16,H8PA03126
N00037032,"Rients, Don",R,IL18,H6IL18138
N00043169,"Ries, Robert",D,MN01,H8MN01337
N00043541,"Riggleman, Denver",R,VA05,H8VA05171
N00043799,"Riley, James Jr",I,MES1,S8ME00171
N00040777,"Riley, Kris Ann Ms.",I,WI05,H8WI05140
N00041331,"Ring, Lisa",D,GA01,H8GA01063
N00041921,"Ringelstein, Zak",D,MES1,S8ME00155
N00041423,"Rittereiser, Jason",D,WA08,H8WA08163
N00043414,"Rivera, Natalie Lynn",I,NJS1,S8NJ00533
N00042994,"Rivers, Don",D,WAS1,S8WA00228
N00030199,"Robbins, Frankie",D,OK03,H8OK03047
N00034320,"Roberson, John",D,IN03,H2IN03160
N00035354,"Roberts, Boyd",D,CA48,H4CA42078
N00038874,"Roberts, Clifton",I,CAS2,S8CA00390
N00040924,"Roberts, Ira",R,NC10,H8NC10071
N00042219,"Roberts, Kevin",R,TX02,H8TX02117
N00043224,"Roberts, Mark",3,OR02,H8OR02229
N00042683,"Roberts, Shawna",D,OH06,H8OH06133
N00042714,"Robertson, Annabelle",D,SC02,H8SC02114
N00036946,"Robertson, Terry",R,OH07,H6OH07119
N00032006,"Robinson, Art",R,OR04,H0OR04081
N00042938,"Robinson, Gil",L,TX21,H8TX21364
N00030768,"Roby, Martha",R,AL02,H0AL02087
N00038414,"Rochester, Lisa Blunt",D,DE01,H6DE00206
N00040718,"Rockhold, Chris",L,KS04,H8KS04179
N00026314,"Rodgers, Cathy McMorris",R,WA05,H4WA05077
N00039652,"Rodgers, Emory",D,CA33,H8CA33268
N00040988,"Rodriguez, Darrell",D,TX32,H8TX32080
N00041213,"Rodriguez, George",D,TX32,H8TX32122
N00041330,"Rodriguez, Jose Javier",D,FL27,H8FL27052
N00040210,"Rodriguez, Junius",D,IL18,H6IL18161
N00043660,"Rodriguez, Shawndra",I,LA02,H8LA02146
N00041642,"Rodriguez-Aguilera, Bettina",R,FL27,H8FL27094
N00028463,"Roe, Phil",R,TN01,H6TN01388
N00041710,"Roesler, Russell Paul",I,UT03,H8UT03378
N00043503,"Rogers, Curtis Ralph",R,FL15,H8FL15289
N00003473,"Rogers, Hal",R,KY05,H0KY05015
N00031548,"Rogers, Kesha",I,TX09,H8TX09138
N00024759,"Rogers, Mike D",R,AL03,H2AL03032
N00043688,"Rogers, Tim",R,WI04,H8WI04069
N00033985,"Rogers, Wendy",R,AZ01,H8AZ01245
N00007151,"Rohrabacher, Dana",R,CA48,H8CA42061
N00042447,"Rohrs, Brad",R,MD06,H8MD06226
N00031741,"Rokita, Todd",R,INS1,S8IN00189
N00042428,"Roldan-Johnson, Daniel",D,IL14,H8IL14182
N00039420,"Romero, Paul Jr",R,OR02,H6OR02199
N00041835,"Romley, Ken",D,NC02,H8NC02094
N00000286,"Romney, Mitt",R,UTS1,S8UT00176
N00038447,"Ronan, Sam",R,OH01,H6OH01088
N00040007,"Rooney, Francis",R,FL19,H6FL19087
N00029018,"Rooney, Tom",R,FL17,H8FL16022
N00043648,"Rosales, Mike",I,NM02,H8NM02255
N00042443,"Rosas, Eduardo",D,MD03,H8MD03124
N00042043,"Rosas, Emily",R,FL01,H0FL01112
N00041972,"Rose, E Brian",R,MS04,H8MS04453
N00041599,"Rose, John",R,TN06,H8TN06094
N00041588,"Rose, Max",D,NY11,H8NY11113
N00038734,"Rosen, Jacky",D,NVS1,S8NV00156
N00035517,"Rosendale, Matt",R,MTS1,S8MT00234
N00004719,"Roskam, Peter",R,IL06,H6IL06117
N00039841,"Ross, David",L,TN06,H6TN06163
N00030645,"Ross, Dennis",R,FL15,H0FL12101
N00043212,"Ross, Felicia",D,OH11,H8OH11323
N00041557,"Ross, Heather",D,AZ06,H8AZ06095
N00043719,"Rossell, Reid",D,MN04,H8MN04109
N00032631,"Rossi, Dino",R,WA08,H8WA08205
N00031253,"Rothfus, Keith J",R,PA17,H0PA04220
N00040666,"Rouda, Harley",D,CA48,H8CA48035
